DALE CARNEGIE TRAINING - GTA & MARITIMES
Cost Breakdown & Break-Even Analysis
Generated: 2026-02-15
,,,,,
FIXED COSTS (Annual),,,,,
Category,Annual Cost,Monthly Cost,% of Total,Notes
Franchise Fee (16.5%),297000,24750,26.5%,Largest fixed cost
Troy's Salary,144000,12000,12.9%,
Kevin's Salary,144000,12000,12.9%,
Credit Cards (Rooms + Subs),120000,10000,10.7%,
Customer Service Team,96000,8000,8.6%,Philippines team
Office Rent,84000,7000,7.5%,
BDC Loan,60000,5000,5.4%,
Amy's Salary,60000,5000,5.4%,
Marketing (Bryce),48000,4000,4.3%,
Accountant,15000,1250,1.3%,
Salesforce Licensing,18000,1500,1.6%,
Office Expenses,12000,1000,1.1%,
Trainer Development,9996,833,0.9%,
Conference Travel,9996,833,0.9%,
TOTAL FIXED COSTS,1117992,93166,100%,
,,,,,
VARIABLE COSTS (Per Boot Camp),,,,,
Item,Cost,Per,Notes,,
Sales Commission (22%),9900,Camp,Based on $45K revenue,,
Trainer Delivery Fee (10%),4500,Camp,Lead trainer,,
Co-Trainer/TA Fee,1200,Camp,,,
Coaching (Onboarding & ROI),1600,Camp,,,
Participant Materials,200,Camp,16 participants,,
Venue & Catering,1500,Camp,,,
Travel (Zone A - Driving),1100,Trainer,Zone A = driving only,,
Meeting Room Rental (3 Days),1500,Camp,,,
Catering (3 Days @ $20 x 16),960,Camp,16 participants,,
Miscellaneous / Buffer,500,Camp,,,
TOTAL VARIABLE COSTS,21460,Camp,,,
,,,,,
REVENUE TARGETS,,,,,
Metric,Amount,Per Person,Notes,,
Target Revenue (16 participants),46400,2900,Standard boot camp,,
Target Revenue (12 participants),34800,2900,Minimum viable,,
Target Revenue (20 participants),58000,2900,Full capacity,,
,,,,,
BREAK-EVEN ANALYSIS,,,,,
Metric,Value,Notes,,,
Monthly Fixed Costs,93166,,,,
Avg Revenue per Boot Camp (16 ppl),46400,$2900/person,,,
Variable Cost per Boot Camp,21460,,,,
Contribution Margin per Camp,24940,Revenue - Variable Costs,,,
Boot Camps to Break Even,3.73,~4 boot camps/month (conservative),,,
Revenue to Break Even,173200,Monthly,,,
,,,,,
PROFIT SCENARIOS (Monthly),,,,,
# of Boot Camps,Revenue,Variable Costs,Contribution,Fixed Costs,Net Profit
1,46400,21460,24940,93166,-68226
2,92800,42920,49880,93166,-43286
3,139200,64380,74820,93166,-18346
4,185600,85840,99760,93166,6594
5,232000,107300,124700,93166,31534
6,278400,128760,149640,93166,56474
8,371200,171680,199520,93166,106354
10,464000,214600,249400,93166,156234
12,556800,257520,299280,93166,206114
,,,,,
NOTES,,,,,
,,,,,
1. Break-even is ~4 boot camps/month at 16 participants each,,,,,
2. Each additional boot camp above break-even adds ~$25K to profit,,,,,
3. Franchise fee (16.5% of revenue) is largest single cost,,,,,
4. 2 boot camps/month = ~$68K loss (need to close gap),,,,,
5. 6 boot camps/month = ~$56K profit (healthy business),,,,,
